Year;Canton;Condamnations adultes
1992-12-31;LU;2813
1992-12-31;NE;1336
1992-12-31;NW;308
1992-12-31;OW;244
1992-12-31;SG;4018
1992-12-31;SH;638
1992-12-31;SO;1262
1992-12-31;SZ;483
1992-12-31;TG;1962
1992-12-31;TI;2655
1992-12-31;UR;254
1992-12-31;VD;7511
1992-12-31;VS;2294
1992-12-31;ZG;608
1992-12-31;ZH;10073
1993-12-31;AG;6716
1993-12-31;AI;55
1993-12-31;AR;442
1993-12-31;BE;8891
1993-12-31;BL;967
1993-12-31;BS;4441
1993-12-31;FR;2308
1993-12-31;GE;3006
1993-12-31;GL;206
1993-12-31;GR;2474
1993-12-31;JU;869
1993-12-31;LU;3013
1993-12-31;NE;1548
1993-12-31;NW;339
1993-12-31;OW;256
1993-12-31;SG;4340
1993-12-31;SH;704
1993-12-31;SO;1689
1993-12-31;SZ;626
1993-12-31;TG;2184
1993-12-31;TI;2301
1993-12-31;UR;446
1993-12-31;VD;8148
1993-12-31;VS;2781
1993-12-31;ZG;755
1993-12-31;ZH;10968
1994-12-31;AG;6502
1994-12-31;AI;46
1994-12-31;AR;386
1994-12-31;BE;8638
1994-12-31;BL;784
1994-12-31;BS;2906
1994-12-31;FR;2124
1994-12-31;GE;3231
1994-12-31;GL;202
1994-12-31;GR;2393
1994-12-31;JU;806
1994-12-31;LU;3106
1994-12-31;NE;1848
1994-12-31;NW;347
1994-12-31;OW;209
1994-12-31;SG;4202
1994-12-31;SH;646
1994-12-31;SO;1742
1994-12-31;SZ;594
1994-12-31;TG;2101
1994-12-31;TI;2674
1994-12-31;UR;581
1994-12-31;VD;8181
1994-12-31;VS;2856
1994-12-31;ZG;778
1994-12-31;ZH;10844
1995-12-31;AG;6324
1995-12-31;AI;85
1995-12-31;AR;318
1995-12-31;BE;7796
1995-12-31;BL;910
1995-12-31;BS;2542
1995-12-31;FR;1983
1995-12-31;GE;2711
1995-12-31;GL;201
1995-12-31;GR;2277
1995-12-31;JU;766
1995-12-31;LU;2820
1995-12-31;NE;1662
1995-12-31;NW;366
1995-12-31;OW;227
1995-12-31;SG;3871
1995-12-31;SH;643
1995-12-31;SO;1716
1995-12-31;SZ;607
1995-12-31;TG;1968
1995-12-31;TI;2606
1995-12-31;UR;789
1995-12-31;VD;6232
1995-12-31;VS;2134
1995-12-31;ZG;841
1995-12-31;ZH;9732
1996-12-31;AG;6153
1996-12-31;AI;85
1996-12-31;AR;349
1996-12-31;BE;7359
1996-12-31;BL;890
1996-12-31;BS;2766
1996-12-31;FR;2299
1996-12-31;GE;2845
1996-12-31;GL;176
1996-12-31;GR;2147
1996-12-31;JU;692
1996-12-31;LU;2741
1996-12-31;NE;1745
1996-12-31;NW;285
1996-12-31;OW;206
1996-12-31;SG;4066
1996-12-31;SH;658
1996-12-31;SO;1561
1996-12-31;SZ;479
1996-12-31;TG;2283
1996-12-31;TI;2548
1996-12-31;UR;607
1996-12-31;VD;5284
1996-12-31;VS;2265
1996-12-31;ZG;812
1996-12-31;ZH;10265
1997-12-31;AG;6131
1997-12-31;AI;115
1997-12-31;AR;283
1997-12-31;BE;7400
1997-12-31;BL;1063
1997-12-31;BS;2858
1997-12-31;FR;2241
1997-12-31;GE;3244
1997-12-31;GL;211
1997-12-31;GR;2248
1997-12-31;JU;837
1997-12-31;LU;2964
1997-12-31;NE;1674
1997-12-31;NW;371
1997-12-31;OW;232
1997-12-31;SG;3943
1997-12-31;SH;672
1997-12-31;SO;1850
1997-12-31;SZ;596
1997-12-31;TG;2410
1997-12-31;TI;2480
1997-12-31;UR;554
1997-12-31;VD;5207
1997-12-31;VS;2653
1997-12-31;ZG;751
1997-12-31;ZH;10574
1998-12-31;AG;6974
1998-12-31;AI;116
1998-12-31;AR;346
1998-12-31;BE;9477
1998-12-31;BL;1054
1998-12-31;BS;2776
1998-12-31;FR;2035
1998-12-31;GE;3197
1998-12-31;GL;200
1998-12-31;GR;2484
1998-12-31;JU;882
1998-12-31;LU;3142
1998-12-31;NE;1702
1998-12-31;NW;345
1998-12-31;OW;241
1998-12-31;SG;4046
1998-12-31;SH;714
1998-12-31;SO;1883
1998-12-31;SZ;690
1998-12-31;TG;2804
1998-12-31;TI;2345
1998-12-31;UR;704
1998-12-31;VD;4779
1998-12-31;VS;2576
1998-12-31;ZG;986
1998-12-31;ZH;10951
1999-12-31;AG;7290
1999-12-31;AI;91
1999-12-31;AR;273
1999-12-31;BE;8938
1999-12-31;BL;1200
1999-12-31;BS;2782
1999-12-31;FR;2362
1999-12-31;GE;3388
1999-12-31;GL;191
1999-12-31;GR;2048
1999-12-31;JU;894
1999-12-31;LU;2996
1999-12-31;NE;1609
1999-12-31;NW;286
1999-12-31;OW;309
1999-12-31;SG;3710
1999-12-31;SH;732
1999-12-31;SO;1991
1999-12-31;SZ;663
1999-12-31;TG;2459
1999-12-31;TI;3160
1999-12-31;UR;667
1999-12-31;VD;5910
1999-12-31;VS;2220
1999-12-31;ZG;831
1999-12-31;ZH;11296
2000-12-31;AG;6980
2000-12-31;AI;91
2000-12-31;AR;288
2000-12-31;BE;9552
2000-12-31;BL;1194
2000-12-31;BS;2907
2000-12-31;FR;2530
2000-12-31;GE;3679
2000-12-31;GL;200
2000-12-31;GR;2180
2000-12-31;JU;958
2000-12-31;LU;2870
2000-12-31;NE;2117
2000-12-31;NW;341
2000-12-31;OW;223
2000-12-31;SG;4137
2000-12-31;SH;637
2000-12-31;SO;2205
2000-12-31;SZ;654
2000-12-31;TG;2477
2000-12-31;TI;2643
2000-12-31;UR;555
2000-12-31;VD;8653
2000-12-31;VS;2295
2000-12-31;ZG;1051
2000-12-31;ZH;10779
2001-12-31;AG;6598
2001-12-31;AI;100
2001-12-31;AR;305
2001-12-31;BE;10647
2001-12-31;BL;1316
2001-12-31;BS;3084
2001-12-31;FR;2563
2001-12-31;GE;3491
2001-12-31;GL;224
2001-12-31;GR;2208
2001-12-31;JU;1012
2001-12-31;LU;3440
2001-12-31;NE;2258
2001-12-31;NW;306
2001-12-31;OW;260
2001-12-31;SG;4468
2001-12-31;SH;635
2001-12-31;SO;2055
2001-12-31;SZ;711
2001-12-31;TG;2448
2001-12-31;TI;3030
2001-12-31;UR;833
2001-12-31;VD;8393
2001-12-31;VS;2254
2001-12-31;ZG;907
2001-12-31;ZH;11166
2002-12-31;AG;6635
2002-12-31;AI;90
2002-12-31;AR;397
2002-12-31;BE;10558
2002-12-31;BL;1584
2002-12-31;BS;3332
2002-12-31;FR;2542
2002-12-31;GE;3740
2002-12-31;GL;281
2002-12-31;GR;2044
2002-12-31;JU;1230
2002-12-31;LU;3599
2002-12-31;NE;2262
2002-12-31;NW;242
2002-12-31;OW;329
2002-12-31;SG;4169
2002-12-31;SH;730
2002-12-31;SO;2091
2002-12-31;SZ;726
2002-12-31;TG;2794
2002-12-31;TI;2802
2002-12-31;UR;603
2002-12-31;VD;8027
2002-12-31;VS;2123
2002-12-31;ZG;871
2002-12-31;ZH;12360
2003-12-31;AG;7268
2003-12-31;AI;78
2003-12-31;AR;365
2003-12-31;BE;9602
2003-12-31;BL;1917
2003-12-31;BS;3371
2003-12-31;FR;2842
2003-12-31;GE;4257
2003-12-31;GL;255
2003-12-31;GR;2118
2003-12-31;JU;1196
2003-12-31;LU;3829
2003-12-31;NE;2466
2003-12-31;NW;291
2003-12-31;OW;380
2003-12-31;SG;4498
2003-12-31;SH;809
2003-12-31;SO;2372
2003-12-31;SZ;843
2003-12-31;TG;2541
2003-12-31;TI;2765
2003-12-31;UR;1111
2003-12-31;VD;8079
2003-12-31;VS;2632
2003-12-31;ZG;982
2003-12-31;ZH;13887
2004-12-31;AG;7871
2004-12-31;AI;71
2004-12-31;AR;360
2004-12-31;BE;10935
2004-12-31;BL;2116
2004-12-31;BS;3294
2004-12-31;FR;3368
2004-12-31;GE;4741
2004-12-31;GL;283
2004-12-31;GR;2203
2004-12-31;JU;1257
2004-12-31;LU;4642
2004-12-31;NE;2740
2004-12-31;NW;303
2004-12-31;OW;268
2004-12-31;SG;4748
2004-12-31;SH;947
2004-12-31;SO;2968
2004-12-31;SZ;715
2004-12-31;TG;2556
2004-12-31;TI;2884
2004-12-31;UR;871
2004-12-31;VD;9825
2004-12-31;VS;2890
2004-12-31;ZG;1085
2004-12-31;ZH;14997
2005-12-31;AG;7143
2005-12-31;AI;55
2005-12-31;AR;246
2005-12-31;BE;10749
2005-12-31;BL;1950
2005-12-31;BS;3551
2005-12-31;FR;3380
2005-12-31;GE;4918
2005-12-31;GL;267
2005-12-31;GR;2274
2005-12-31;JU;1072
2005-12-31;LU;3976
2005-12-31;NE;2564
2005-12-31;NW;314
2005-12-31;OW;327
2005-12-31;SG;4588
2005-12-31;SH;862
2005-12-31;SO;3048
2005-12-31;SZ;680
2005-12-31;TG;2344
2005-12-31;TI;3178
2005-12-31;UR;939
2005-12-31;VD;9754
2005-12-31;VS;3296
2005-12-31;ZG;1226
2005-12-31;ZH;13520
2006-12-31;AG;7724
2006-12-31;AI;83
2006-12-31;AR;267
2006-12-31;BE;11317
2006-12-31;BL;2327
2006-12-31;BS;3063
2006-12-31;FR;4328
2006-12-31;GE;5157
2006-12-31;GL;284
2006-12-31;GR;2842
2006-12-31;JU;1069
2006-12-31;LU;4352
2006-12-31;NE;2657
2006-12-31;NW;287
2006-12-31;OW;368
2006-12-31;SG;4723
2006-12-31;SH;946
2006-12-31;SO;2886
2006-12-31;SZ;750
2006-12-31;TG;2442
2006-12-31;TI;3491
2006-12-31;UR;726
2006-12-31;VD;9737
2006-12-31;VS;3440
2006-12-31;ZG;1277
2006-12-31;ZH;14230
2007-12-31;AG;7037
2007-12-31;AI;69
2007-12-31;AR;314
2007-12-31;BE;9203
2007-12-31;BL;2429
2007-12-31;BS;2989
2007-12-31;FR;3232
2007-12-31;GE;5365
2007-12-31;GL;306
2007-12-31;GR;2768
2007-12-31;JU;1174
2007-12-31;LU;4012
2007-12-31;NE;2471
2007-12-31;NW;259
2007-12-31;OW;347
2007-12-31;SG;4372
2007-12-31;SH;1062
2007-12-31;SO;2759
2007-12-31;SZ;873
2007-12-31;TG;2322
2007-12-31;TI;3232
2007-12-31;UR;603
2007-12-31;VD;9343
2007-12-31;VS;3224
2007-12-31;ZG;1376
2007-12-31;ZH;13725
2008-12-31;AG;8374
2008-12-31;AI;69
2008-12-31;AR;302
2008-12-31;BE;10603
